市場,證券代號,證券名稱,外資_買進,外資_賣出,外資_買賣超,投信_買進,投信_賣出,投信_買賣超,自營_買進,自營_賣出,自營_買賣超
TPEX,1336,台翰,96000,2000,94000,0,0,0,0,0,0
TPEX,1565,精華,40000,21600,18400,0,0,0,1756,27,1729
TPEX,1569,濱川,518000,290000,228000,0,0,0,3000,1001,1999
TPEX,1570,力肯,39000,20000,19000,0,0,0,0,0,0
TPEX,1580,新麥,6000,9000,-3000,0,0,0,0,292,-292
TPEX,1584,精剛,531000,274000,257000,0,0,0,127000,6288,120712
TPEX,1586,和勤,17000,1000,16000,0,0,0,0,0,0
TPEX,1591,駿吉-KY,23000,17000,6000,0,0,0,6000,5592,408
TPEX,1593,祺驊,2000,0,2000,0,0,0,0,0,0
TPEX,1595,川寶,72000,18000,54000,0,0,0,0,1000,-1000
TPEX,1599,宏佳騰,0,2000,-2000,0,0,0,0,0,0
TPEX,1742,台蠟,0,2000,-2000,0,0,0,0,0,0
TPEX,1777,生泰,7000,83000,-76000,0,0,0,0,795,-795
TPEX,1781,合世,14000,6000,8000,0,0,0,0,0,0
TPEX,1784,訊聯,144000,8000,136000,0,0,0,390,1,389
TPEX,1785,光洋科,779000,543000,236000,0,0,0,2812,1000,1812
TPEX,1796,金穎生技,3000,0,3000,0,0,0,20,0,20
TPEX,1799,易威,250000,64000,186000,0,0,0,0,102,-102
TPEX,1815,富喬,6824000,10819000,-3995000,0,0,0,435932,158549,277383
TPEX,2035,唐榮,3000,3000,0,0,0,0,0,0,0
TPEX,2061,風青,5000,2000,3000,0,0,0,0,0,0
TPEX,2063,世鎧,7000,8000,-1000,0,0,0,0,0,0
TPEX,2065,世豐,31000,4000,27000,0,0,0,18,31,-13
TPEX,2066,世德,29000,18000,11000,0,0,0,321,0,321
TPEX,2070,精湛,63000,7000,56000,0,0,0,0,1000,-1000
TPEX,2230,泰茂,20000,78000,-58000,0,0,0,378,119,259
TPEX,2235,謚源,2000,2000,0,0,0,0,0,0,0
TPEX,2596,綠意,3000,13000,-10000,0,0,0,0,0,0
TPEX,2640,大車隊,4000,5000,-1000,0,0,0,0,0,0
TPEX,2641,正德,625000,888000,-263000,0,0,0,51420,45743,5677
TPEX,2643,捷迅,0,2000,-2000,0,0,0,0,0,0
TPEX,2718,全心投控,37000,13000,24000,0,0,0,0,0,0
TPEX,2719,燦星旅,86000,30000,56000,0,0,0,1010,1353,-343
TPEX,2726,雅茗-KY,115000,66000,49000,0,0,0,0,0,0
TPEX,2729,瓦城,1000,5000,-4000,0,0,0,0,0,0
TPEX,2732,六角,3000,4000,-1000,0,0,0,0,0,0
TPEX,2734,易飛網,290000,182000,108000,0,0,0,3350,0,3350
TPEX,2736,富野,150883,254762,-103879,0,0,0,2020,2377,-357
TPEX,2743,山富,622000,544000,78000,0,0,0,12598,6700,5898
TPEX,2745,五福,480000,310000,170000,0,0,0,48748,0,48748
TPEX,2751,王座,0,1000,-1000,0,0,0,0,0,0
TPEX,2754,亞洲藏壽司,15000,8100,6900,0,0,0,19,0,19
TPEX,2755,揚秦,6000,5000,1000,0,0,0,0,0,0
